LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 29.173603195040144, 0.07715333076374253, 31.753581708887232, 10.883300557194362, 9.570701932858595, 31.99866948746343,
1, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.270714498121166, 0.38154381171210333, 31.16604197205574,
2, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.270714498121166, 0.38154381171210333, 31.16604197205574,
3, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.270714498121166, 0.38154381171210333, 31.16604197205574,
4, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 30.270714498121166, 0.38154381171210333, 31.16604197205574,
5, 28.574483904136677, 1.1663054654749663, 28.574483904136677, 26.98220651458821, 1.2577062827314445, 29.06556928621999,
6, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.333982678284677, 1.4585740286460394, 28.383560520465064,
7, 28.786736194678433, 1.0953336007487633, 28.786736194678433, 19.09284627092846, 9.615023474178404, 31.35221316249272,
8, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.333982678284677, 1.4585740286460394, 28.383560520465064,
9, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 27.333982678284677, 1.4585740286460394, 28.383560520465064,
10, 21.627845160981334, 3.531076760976544, 21.627845160981334, 18.549847815185828, 3.4080870881628975, 22.00846776158682,
11, 19.361485771809143, 4.302552393735366, 19.361485771809143, 18.926183685111237, 4.208579501669663, 19.466080438864115,
12, 22.572744195160183, 3.2103458410894485, 22.572744195160183, 9.819178082191781, 2.4829885580056072, 26.29890435973522,
13, 19.361485771809143, 4.302552393735366, 19.361485771809143, 18.926183685111237, 4.208579501669663, 19.466080438864115,
14, 19.361485771809143, 4.302552393735366, 19.361485771809143, 18.926183685111237, 4.208579501669663, 19.466080438864115,
15, 10.965101526694388, 7.1608826296779675, 10.965101526694388, 6.45554642365056, 7.02669152554488, 11.158748200816659,
16, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.819178082191781, 8.510002236345667, 6.837899399393829,
17, 12.962666271077486, 6.481333135538743, 12.962666271077486, 9.57557251908397, 5.60807804210166, 14.052366404030659,
18, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.819178082191781, 8.510002236345667, 6.837899399393829,
19, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.819178082191781, 8.510002236345667, 6.837899399393829,
20, 0.33684903061329385, 10.526532206665433, 0.3289541314582948, 7.757575757575758, 10.49072840897449, 32.0,
