LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 946321.0, 10672200, 1.0, 934330.0, 9408, 23.0, 946443.0, 10067200, -3263.0, 943712.0, 6983506, -983.0, -1.0, 9408, 2759.0, 947044.0, 10067200,
1, 13.0, 849589.0, 10077696, 1.0, 846662.0, 36864, 23.0, 849591.0, 8957952, -3263.0, 847630.0, 10077696, -3275.0, 669656.0, 36864, 2759.0, 850600.0, 8957952,
2, 13.0, 849589.0, 10077696, 1.0, 846662.0, 36864, 23.0, 849591.0, 8957952, -3263.0, 847630.0, 10077696, -3275.0, 669656.0, 36864, 2759.0, 850600.0, 8957952,
3, 13.0, 849589.0, 10077696, 1.0, 846662.0, 36864, 23.0, 849591.0, 8957952, -3263.0, 847630.0, 10077696, -3275.0, 669656.0, 36864, 2759.0, 850600.0, 8957952,
4, 13.0, 849589.0, 10077696, 1.0, 846662.0, 36864, 23.0, 849591.0, 8957952, -3263.0, 847630.0, 10077696, -3275.0, 669656.0, 36864, 2759.0, 850600.0, 8957952,
5, 13.0, 431864.0, 4967424, 1.0, 431098.0, 73728, 23.0, 431899.0, 4816896, -3263.0, 431613.0, 4849856, -3275.0, 371383.0, 73728, 2861.0, 434621.0, 4816896,
6, 13.0, 749749.0, 8566272, 1.0, 749062.0, 147456, 23.0, 749755.0, 8306688, -3263.0, 748132.0, 8566272, -3275.0, 645399.0, 147456, 2895.0, 751103.0, 8306688,
7, 13.0, 57701.0, 592064, 1.0, 56887.0, 8192, 23.0, 57745.0, 645888, -3263.0, 54563.0, 551936, -852.0, -1.0, 8192, 2861.0, 59688.0, 645888,
8, 13.0, 749749.0, 8566272, 1.0, 749062.0, 147456, 23.0, 749755.0, 8306688, -3263.0, 748132.0, 8566272, -3275.0, 645399.0, 147456, 2895.0, 751103.0, 8306688,
9, 13.0, 749749.0, 8566272, 1.0, 749062.0, 147456, 23.0, 749755.0, 8306688, -3263.0, 748132.0, 8566272, -3275.0, 645399.0, 147456, 2895.0, 751103.0, 8306688,
10, 13.0, 485734.0, 4967424, 1.0, 485542.0, 294912, 23.0, 485751.0, 4816896, -3263.0, 483622.0, 4341668, -3275.0, 484848.0, 294912, 3201.0, 488477.0, 4816896,
11, 13.0, 751861.0, 7299072, 1.0, 751706.0, 589824, 23.0, 751863.0, 7077888, -3263.0, 748931.0, 7299072, -3275.0, 750629.0, 589824, 3371.0, 754583.0, 7077888,
12, 13.0, 62647.0, 633600, 1.0, 62431.0, 32768, 23.0, 62669.0, 633600, -2555.0, -1.0, 25088, -3275.0, 62427.0, 32768, 3167.0, 63592.0, 633600,
13, 13.0, 751861.0, 7299072, 1.0, 751706.0, 589824, 23.0, 751863.0, 7077888, -3263.0, 748931.0, 7299072, -3275.0, 750629.0, 589824, 3371.0, 754583.0, 7077888,
14, 13.0, 751861.0, 7299072, 1.0, 751706.0, 589824, 23.0, 751863.0, 7077888, -3263.0, 748931.0, 7299072, -3275.0, 750629.0, 589824, 3371.0, 754583.0, 7077888,
15, 13.0, 685229.0, 4854528, 1.0, 685177.0, 1179648, 23.0, 685243.0, 4816896, -3263.0, 681381.0, 2836748, -3275.0, 684670.0, 1179648, 4629.0, 687965.0, 4816896,
16, 13.0, 974197.0, 4953600, 1.0, 974161.0, 2359296, 23.0, 974203.0, 4915200, -2555.0, -1.0, 25088, -3275.0, 973388.0, 2359296, 6465.0, 976925.0, 4915200,
17, 13.0, 92680.0, 704512, 1.0, 92622.0, 131072, 23.0, 92703.0, 720896, -1310.0, -1.0, 12544, -3275.0, 92519.0, 131072, 4187.0, 95435.0, 720896,
18, 13.0, 974197.0, 4953600, 1.0, 974161.0, 2359296, 23.0, 974203.0, 4915200, -2555.0, -1.0, 25088, -3275.0, 973388.0, 2359296, 6465.0, 976925.0, 4915200,
19, 13.0, 974197.0, 4953600, 1.0, 974161.0, 2359296, 23.0, 974203.0, 4915200, -2555.0, -1.0, 25088, -3275.0, 973388.0, 2359296, 6465.0, 976925.0, 4915200,
20, 13.0, 126405.0, 43008, 1.0, 126397.0, 512000, 23.0, 126411.0, 43000, -66.0, -1.0, 512, -3275.0, 120305.0, 512000, 95581.0, 127271.0, 43000,
