LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 6.0, 49298.0, 338688, 33.0, 49356.0, 338688, 63.0, 49391.0, 401408, -3270.0, 41847.0, 154040, -131.0, -1.0, 864, 4095.0, 49647.0, 401439,
1, 1.0, 323982.0, 3484800, 33.0, 324014.0, 109152, 63.0, 324016.0, 108900, -3275.0, 320357.0, 501346, -66.0, -1.0, 288, 97343.0, 324376.0, 108931,
2, 1.0, 61810.0, 401408, 33.0, 61905.0, 802816, 63.0, 61935.0, 802816, -3275.0, 60540.0, 401408, -262.0, -1.0, 2048, 2591.0, 62447.0, 802847,
3, 1.0, 166947.0, 1806336, 33.0, 167549.0, 56448, 63.0, 167579.0, 56448, -3275.0, 161339.0, 912865, -66.0, -1.0, 576, 97343.0, 168319.0, 56479,
4, 1.0, 43322.0, 200704, 33.0, 43481.0, 802816, 63.0, 43511.0, 802816, -3275.0, 42431.0, 200704, -852.0, -1.0, 8192, 1839.0, 44023.0, 802847,
5, 1.0, 314577.0, 3359232, 33.0, 314609.0, 105984, 63.0, 314611.0, 104976, -3275.0, 306766.0, 606354, -131.0, -1.0, 1152, 97343.0, 314848.0, 105007,
6, 1.0, 86834.0, 401408, 33.0, 86993.0, 1605632, 63.0, 87023.0, 1605632, -3275.0, 85052.0, 401408, -1703.0, -1.0, 16384, 1839.0, 88047.0, 1605663,
7, 1.0, 84297.0, 903168, 33.0, 85469.0, 28800, 63.0, 85483.0, 28224, -3275.0, 80010.0, 475740, -131.0, -1.0, 1152, 85499.0, 86380.0, 28224,
8, 1.0, 34682.0, 100352, 33.0, 34969.0, 819200, 63.0, 34983.0, 802816, -3275.0, 33281.0, 100352, -3243.0, 34940.0, 819200, 1463.0, 35511.0, 802847,
9, 1.0, 150417.0, 1557504, 33.0, 150449.0, 50688, 63.0, 150451.0, 48672, -3275.0, 135206.0, 286576, -262.0, -1.0, 2304, 97343.0, 150976.0, 48703,
10, 1.0, 69682.0, 200704, 33.0, 69969.0, 1638400, 63.0, 69983.0, 1605632, -3275.0, 66879.0, 200704, -3243.0, 69926.0, 1638400, 1463.0, 71023.0, 1605663,
11, 1.0, 45537.0, 451584, 33.0, 47849.0, 16128, 63.0, 47851.0, 14112, -3275.0, 37546.0, 319951, -262.0, -1.0, 2304, 47879.0, 48319.0, 14112,
12, 1.0, 33362.0, 50176, 33.0, 33905.0, 917504, 63.0, 33907.0, 802816, -3275.0, 18818.0, 50176, -3243.0, 33874.0, 917504, 1275.0, 34447.0, 802847,
13, 1.0, 68337.0, 663552, 33.0, 68369.0, 23040, 63.0, 68383.0, 20736, -3275.0, 50462.0, 159559, -524.0, -1.0, 4608, 68399.0, 69046.0, 20736,
14, 1.0, 67298.0, 100352, 33.0, 67841.0, 1835008, 63.0, 67843.0, 1605632, -3275.0, 57601.0, 100352, -3243.0, 67794.0, 1835008, 1275.0, 68895.0, 1605663,
15, 1.0, 68337.0, 663552, 33.0, 68369.0, 23040, 63.0, 68383.0, 20736, -3275.0, 50462.0, 159559, -524.0, -1.0, 4608, 68399.0, 69046.0, 20736,
16, 1.0, 67298.0, 100352, 33.0, 67841.0, 1835008, 63.0, 67843.0, 1605632, -3275.0, 57601.0, 100352, -3243.0, 67794.0, 1835008, 1275.0, 68895.0, 1605663,
17, 1.0, 68337.0, 663552, 33.0, 68369.0, 23040, 63.0, 68383.0, 20736, -3275.0, 50462.0, 159559, -524.0, -1.0, 4608, 68399.0, 69046.0, 20736,
18, 1.0, 67298.0, 100352, 33.0, 67841.0, 1835008, 63.0, 67843.0, 1605632, -3275.0, 57601.0, 100352, -3243.0, 67794.0, 1835008, 1275.0, 68895.0, 1605663,
19, 1.0, 68337.0, 663552, 33.0, 68369.0, 23040, 63.0, 68383.0, 20736, -3275.0, 50462.0, 159559, -524.0, -1.0, 4608, 68399.0, 69046.0, 20736,
20, 1.0, 67298.0, 100352, 33.0, 67841.0, 1835008, 63.0, 67843.0, 1605632, -3275.0, 57601.0, 100352, -3243.0, 67794.0, 1835008, 1275.0, 68895.0, 1605663,
21, 1.0, 68337.0, 663552, 33.0, 68369.0, 23040, 63.0, 68383.0, 20736, -3275.0, 50462.0, 159559, -524.0, -1.0, 4608, 68399.0, 69046.0, 20736,
22, 1.0, 67298.0, 100352, 33.0, 67841.0, 1835008, 63.0, 67843.0, 1605632, -3275.0, 57601.0, 100352, -3243.0, 67794.0, 1835008, 1275.0, 68895.0, 1605663,
23, 1.0, 27297.0, 225792, 33.0, 27329.0, 9216, 63.0, 27344.0, 7056, -3275.0, 20909.0, 183192, -524.0, -1.0, 4608, 27359.0, 27579.0, 7056,
24, 1.0, 34690.0, 25088, 33.0, 35745.0, 1048576, 63.0, 35760.0, 802816, -2555.0, -1.0, 25088, -3243.0, 35712.0, 1048576, 1181.0, 36287.0, 802847,
25, 1.0, 27297.0, 82944, 33.0, 27329.0, 9216, 63.0, 27336.0, 2592, -3275.0, 23585.0, 76800, -983.0, -1.0, 9216, 27359.0, 27439.0, 2592,
26, 1.0, 70466.0, 50176, 33.0, 71521.0, 2097152, 63.0, 71536.0, 1605632, -3275.0, 34690.0, 50176, -3243.0, 71470.0, 2097152, 1181.0, 72575.0, 1605663,
