LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 27401.0, 338688, 1.0, 27315.0, 84672, 26.0, 27441.0, 426496, -3275.0, 23427.0, 152913, -131.0, -1.0, 864, 2274.0, 27601.0, 401535,
1, 1.0, 51303.0, 3484800, 1.0, 51236.0, 27360, 287.0, 51362.0, 36420, -3275.0, 49005.0, 447702, -66.0, -1.0, 288, 51489.0, 51583.0, 12100,
2, 1.0, 27901.0, 401408, 1.0, 27837.0, 200704, 31.0, 27963.0, 827904, -3275.0, 27309.0, 401408, -262.0, -1.0, 2048, 1175.0, 28155.0, 802943,
3, 1.0, 20502.0, 1806336, 1.0, 20496.0, 14400, 575.0, 20622.0, 9536, -3275.0, 20227.0, 1186810, -66.0, -1.0, 576, 20749.0, 20773.0, 3136,
4, 1.0, 7759.0, 200704, 1.0, 7823.0, 204800, 63.0, 7949.0, 407808, -3275.0, 7491.0, 200704, -852.0, -1.0, 8192, 699.0, 8013.0, 401535,
5, 1.0, 32183.0, 3359232, 1.0, 32084.0, 26496, 1151.0, 32210.0, 8804, -3275.0, 31426.0, 740806, -131.0, -1.0, 1152, 32337.0, 32359.0, 2916,
6, 1.0, 9359.0, 401408, 1.0, 9423.0, 409600, 127.0, 9549.0, 407808, -3275.0, 9021.0, 401408, -1703.0, -1.0, 16384, 891.0, 9613.0, 401535,
7, 1.0, 9218.0, 903168, 1.0, 9588.0, 8064, 1151.0, 9714.0, 2576, -3275.0, 9071.0, 788130, -131.0, -1.0, 1152, 9841.0, 9847.0, 784,
8, 1.0, 5109.0, 200704, 1.0, 5221.0, 229376, 127.0, 5347.0, 204288, -3275.0, 4774.0, 200704, -3275.0, 2924.0, 49134, 891.0, 5379.0, 200831,
9, 1.0, 15129.0, 1557504, 1.0, 15094.0, 13824, 2303.0, 15220.0, 2212, -3275.0, 14682.0, 1319538, -262.0, -1.0, 2304, 15347.0, 15352.0, 676,
