LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1285184.0, 1778700, 13.0, 1285446.0, 9492672, 23.0, 1285457.0, 10067200, -3275.0, 1023907.0, 163664, -983.0, -1.0, 9408, 4187.0, 1286058.0, 10067200,
1, 1.0, 1142986.0, 1679616, 13.0, 1143061.0, 8957952, 23.0, 1143071.0, 8957952, -3275.0, 1053506.0, 251650, -3263.0, 1140874.0, 8957952, 4187.0, 1144072.0, 8957952,
2, 1.0, 1142986.0, 1679616, 13.0, 1143061.0, 8957952, 23.0, 1143071.0, 8957952, -3275.0, 1053506.0, 251650, -3263.0, 1140874.0, 8957952, 4187.0, 1144072.0, 8957952,
3, 1.0, 1142986.0, 1679616, 13.0, 1143061.0, 8957952, 23.0, 1143071.0, 8957952, -3275.0, 1053506.0, 251650, -3263.0, 1140874.0, 8957952, 4187.0, 1144072.0, 8957952,
4, 1.0, 1142986.0, 1679616, 13.0, 1143061.0, 8957952, 23.0, 1143071.0, 8957952, -3275.0, 1053506.0, 251650, -3263.0, 1140874.0, 8957952, 4187.0, 1144072.0, 8957952,
5, 1.0, 510474.0, 451584, 13.0, 513205.0, 4866048, 23.0, 513207.0, 4816896, -3275.0, 450046.0, 219028, -3263.0, 511205.0, 4866048, 3473.0, 515933.0, 4816896,
6, 1.0, 886314.0, 778752, 13.0, 886453.0, 8404992, 23.0, 886455.0, 8306688, -3275.0, 741962.0, 119242, -3263.0, 884257.0, 8404992, 3473.0, 887807.0, 8306688,
7, 1.0, 65946.0, 53824, 13.0, 68993.0, 581632, 23.0, 69000.0, 645888, -3275.0, 42778.0, 50176, -852.0, -1.0, 8192, 3473.0, 70950.0, 645888,
8, 1.0, 886314.0, 778752, 13.0, 886453.0, 8404992, 23.0, 886455.0, 8306688, -3275.0, 741962.0, 119242, -3263.0, 884257.0, 8404992, 3473.0, 887807.0, 8306688,
9, 1.0, 886314.0, 778752, 13.0, 886453.0, 8404992, 23.0, 886455.0, 8306688, -3275.0, 741962.0, 119242, -3263.0, 884257.0, 8404992, 3473.0, 887807.0, 8306688,
10, 1.0, 463722.0, 225792, 13.0, 473269.0, 5013504, 23.0, 473271.0, 4816896, -3275.0, 410938.0, 106442, -3263.0, 473034.0, 5013504, 3099.0, 475997.0, 4816896,
11, 1.0, 667882.0, 331776, 13.0, 668149.0, 7077888, 23.0, 668159.0, 7077888, -3275.0, 427756.0, 54254, -3263.0, 667786.0, 7077888, 3099.0, 670871.0, 7077888,
12, 1.0, 57142.0, 28800, 13.0, 60595.0, 622592, 23.0, 60606.0, 633600, -2555.0, -1.0, 25088, -3263.0, 60549.0, 622592, 3099.0, 61524.0, 633600,
13, 1.0, 667882.0, 331776, 13.0, 668149.0, 7077888, 23.0, 668159.0, 7077888, -3275.0, 427756.0, 54254, -3263.0, 667786.0, 7077888, 3099.0, 670871.0, 7077888,
14, 1.0, 667882.0, 331776, 13.0, 668149.0, 7077888, 23.0, 668159.0, 7077888, -3275.0, 427756.0, 54254, -3263.0, 667786.0, 7077888, 3099.0, 670871.0, 7077888,
15, 1.0, 477216.0, 112896, 13.0, 524149.0, 5898240, 23.0, 524148.0, 4816896, -3275.0, 250620.0, 54352, -3263.0, 523874.0, 5898240, 2929.0, 526877.0, 4816896,
16, 1.0, 628458.0, 115200, 13.0, 628981.0, 7077888, 23.0, 628980.0, 4915200, -2555.0, -1.0, 25088, -3263.0, 628652.0, 7077888, 2929.0, 631709.0, 4915200,
17, 1.0, 59526.0, 16384, 13.0, 72053.0, 786432, 23.0, 72063.0, 720896, -1310.0, -1.0, 12544, -3263.0, 71944.0, 786432, 2929.0, 74799.0, 720896,
18, 1.0, 628458.0, 115200, 13.0, 628981.0, 7077888, 23.0, 628980.0, 4915200, -2555.0, -1.0, 25088, -3263.0, 628652.0, 7077888, 2929.0, 631709.0, 4915200,
19, 1.0, 628458.0, 115200, 13.0, 628981.0, 7077888, 23.0, 628980.0, 4915200, -2555.0, -1.0, 25088, -3263.0, 628652.0, 7077888, 2929.0, 631709.0, 4915200,
20, 1.0, 43440.0, 512, 13.0, 44447.0, 512000, 23.0, 44450.0, 43000, -66.0, -1.0, 512, -3263.0, 42315.0, 512000, 33879.0, 45313.0, 43000,
