LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 1.3837016177025434, 7.384621129318963, 7.831562897472899, 0.1593328550024679, 9.570701932858595, 7.853514235430683,
1, 1.4693890405757823, 7.836741549737505, 7.836741549737505, 0.23812858281083515, 7.829433162782811, 7.85863849542849,
2, 1.4693890405757823, 7.836741549737505, 7.836741549737505, 0.23812858281083515, 7.829433162782811, 7.85863849542849,
3, 1.4693890405757823, 7.836741549737505, 7.836741549737505, 0.23812858281083515, 7.829433162782811, 7.85863849542849,
4, 1.4693890405757823, 7.836741549737505, 7.836741549737505, 0.23812858281083515, 7.829433162782811, 7.85863849542849,
5, 0.8799119277495786, 9.481499956158725, 9.38572722932884, 0.4831620790519763, 9.458389135205426, 9.399536745235247,
6, 0.8784935186240148, 9.48149217733848, 9.37059753198949, 0.16000526006456997, 9.47018943777105, 9.393146262445793,
7, 0.7799336337685296, 8.428105664314385, 9.359203605222357, 1.089503626177965, 9.615023474178404, 9.571830818933579,
8, 0.8784935186240148, 9.48149217733848, 9.37059753198949, 0.16000526006456997, 9.47018943777105, 9.393146262445793,
9, 0.8784935186240148, 9.48149217733848, 9.37059753198949, 0.16000526006456997, 9.47018943777105, 9.393146262445793,
10, 0.4770801155343888, 10.593125830641123, 10.177709131400295, 0.2569734485072933, 10.52598163334719, 10.185887472800745,
11, 0.4965524673019446, 10.593119302441485, 10.593119302441485, 0.12587000501122886, 10.547482303852172, 10.599242556976698,
12, 0.475176953917735, 10.272269794914946, 10.45389298619017, 9.819178082191781, 9.756507294751852, 10.844487043439564,
13, 0.4965524673019446, 10.593119302441485, 10.593119302441485, 0.12587000501122886, 10.547482303852172, 10.599242556976698,
14, 0.4965524673019446, 10.593119302441485, 10.593119302441485, 0.12587000501122886, 10.547482303852172, 10.599242556976698,
15, 0.21538502629927178, 11.252768720941546, 9.189761122102263, 0.21407190345653337, 11.18917626883283, 9.193444400122912,
16, 0.18315047433111126, 11.252765142903476, 7.814420238127414, 9.819178082191781, 11.200678571202502, 7.817030094738867,
17, 0.22733138155430063, 10.91190631460643, 10.002580788389228, 9.57557251908397, 10.456759919157536, 10.030415605738058,
18, 0.18315047433111126, 11.252765142903476, 7.814420238127414, 9.819178082191781, 11.200678571202502, 7.817030094738867,
19, 0.18315047433111126, 11.252765142903476, 7.814420238127414, 9.819178082191781, 11.200678571202502, 7.817030094738867,
20, 0.01151571039787679, 11.515710397876791, 0.9671397404466836, 7.757575757575758, 11.233243379626582, 3.760384783559248,
