LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 122303, 0, 34.61566764511091, 84.375, 29.03225806451716,
1, 640421, 0, 2.1255549084118104, 99.9009247027741, 1.6113052371420657,
2, 172479, 0, 58.18215550878658, 100.0, 51.19999999999798,
3, 331631, 0, 2.1276659902120127, 100.0, 1.6129032258064107,
4, 136415, 0, 73.56375765128469, 100.0, 67.72486772486707,
5, 619271, 0, 2.1189430798471105, 99.59016393442623, 1.6062929666848063,
6, 272831, 0, 73.56348802005637, 100.0, 67.72486772486876,
7, 165815, 0, 2.1276724059946326, 100.0, 1.612903225806415,
8, 118383, 0, 84.76892797107693, 100.0, 80.75709779179772,
9, 291023, 0, 2.090556416503163, 98.25581395348837, 1.5847711927981518,
10, 236767, 0, 84.76856994429123, 100.0, 80.75709779179766,
11, 87983, 0, 2.0049327711035088, 94.23076923076923, 1.5198511166252846,
12, 116063, 0, 86.46338626435643, 94.23076923076923, 84.19922137199619,
13, 121823, 0, 2.127677039639477, 100.0, 1.6129032258064187,
14, 232127, 0, 86.46301378124906, 94.23076923076923, 84.19922137199603,
15, 121823, 0, 2.127677039639477, 100.0, 1.6129032258064187,
16, 232127, 0, 86.46301378124906, 94.23076923076923, 84.19922137199603,
17, 121823, 0, 2.127677039639477, 100.0, 1.6129032258064187,
18, 232127, 0, 86.46301378124906, 94.23076923076923, 84.19922137199603,
19, 121823, 0, 2.127677039639477, 100.0, 1.6129032258064187,
20, 232127, 0, 86.46301378124906, 94.23076923076923, 84.19922137199603,
21, 121823, 0, 2.127677039639477, 100.0, 1.6129032258064187,
22, 232127, 0, 86.46301378124906, 94.23076923076923, 84.19922137199603,
23, 54143, 0, 1.6290194484974974, 76.5625, 1.2348790322580803,
24, 136959, 0, 73.27156302251039, 76.5625, 72.25806451612911,
25, 27071, 0, 1.1968527206235455, 56.25, 0.9072580645161291,
26, 273919, 0, 73.27129552897024, 76.5625, 72.25806451612858,
