LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 485701.0, 7114800, 1.0, 473710.0, 9408, 31.0, 485839.0, 7744000, -3259.0, 482513.0, 3939478, -983.0, -1.0, 9408, 2086.0, 486511.0, 7744015,
1, 17.0, 426513.0, 6718464, 1.0, 423582.0, 36864, 31.0, 426527.0, 6718464, -3259.0, 426211.0, 6718464, -3275.0, 376189.0, 36864, 2086.0, 426591.0, 6718479,
2, 17.0, 426513.0, 6718464, 1.0, 423582.0, 36864, 31.0, 426527.0, 6718464, -3259.0, 426211.0, 6718464, -3275.0, 376189.0, 36864, 2086.0, 426591.0, 6718479,
3, 17.0, 426513.0, 6718464, 1.0, 423582.0, 36864, 31.0, 426527.0, 6718464, -3259.0, 426211.0, 6718464, -3275.0, 376189.0, 36864, 2086.0, 426591.0, 6718479,
4, 17.0, 426513.0, 6718464, 1.0, 423582.0, 36864, 31.0, 426527.0, 6718464, -3259.0, 426211.0, 6718464, -3275.0, 376189.0, 36864, 2086.0, 426591.0, 6718479,
5, 17.0, 238996.0, 3612672, 1.0, 238226.0, 73728, 31.0, 239039.0, 3612672, -3259.0, 237430.0, 3527168, -3275.0, 211664.0, 73728, 2178.0, 239551.0, 3612687,
6, 17.0, 415857.0, 6230016, 1.0, 415166.0, 147456, 31.0, 415871.0, 6230016, -3259.0, 415380.0, 6230016, -3275.0, 368954.0, 147456, 2224.0, 416127.0, 6230031,
7, 17.0, 28339.0, 430592, 1.0, 27513.0, 8192, 31.0, 28383.0, 430592, -3259.0, 27788.0, 401408, -852.0, -1.0, 8192, 2178.0, 28671.0, 430607,
8, 17.0, 415857.0, 6230016, 1.0, 415166.0, 147456, 31.0, 415871.0, 6230016, -3259.0, 415380.0, 6230016, -3275.0, 368954.0, 147456, 2224.0, 416127.0, 6230031,
9, 17.0, 415857.0, 6230016, 1.0, 415166.0, 147456, 31.0, 415871.0, 6230016, -3259.0, 415380.0, 6230016, -3275.0, 368954.0, 147456, 2224.0, 416127.0, 6230031,
10, 17.0, 278754.0, 3612672, 1.0, 278558.0, 294912, 31.0, 278783.0, 3612672, -3259.0, 277131.0, 3162668, -3275.0, 278548.0, 294912, 2546.0, 279295.0, 3612687,
11, 17.0, 437745.0, 5308416, 1.0, 437586.0, 589824, 31.0, 437759.0, 5308416, -3259.0, 437510.0, 5308416, -3275.0, 437392.0, 589824, 2730.0, 439807.0, 5308431,
12, 17.0, 34657.0, 460800, 1.0, 34433.0, 32768, 31.0, 34687.0, 460800, -2555.0, -1.0, 25088, -3275.0, 34432.0, 32768, 2500.0, 34815.0, 460815,
13, 17.0, 437745.0, 5308416, 1.0, 437586.0, 589824, 31.0, 437759.0, 5308416, -3259.0, 437510.0, 5308416, -3275.0, 437392.0, 589824, 2730.0, 439807.0, 5308431,
14, 17.0, 437745.0, 5308416, 1.0, 437586.0, 589824, 31.0, 437759.0, 5308416, -3259.0, 437510.0, 5308416, -3275.0, 437392.0, 589824, 2730.0, 439807.0, 5308431,
15, 17.0, 437737.0, 3612672, 1.0, 437681.0, 1179648, 31.0, 437759.0, 3612672, -3259.0, 434458.0, 2116249, -3275.0, 437483.0, 1179648, 3972.0, 438271.0, 3612687,
16, 17.0, 654321.0, 3686400, 1.0, 654281.0, 2359296, 31.0, 654335.0, 3686400, -2555.0, -1.0, 25088, -3275.0, 653925.0, 2359296, 5814.0, 655359.0, 3686415,
17, 17.0, 56296.0, 524288, 1.0, 56226.0, 131072, 31.0, 56319.0, 524288, -1310.0, -1.0, 12544, -3275.0, 56222.0, 131072, 3551.0, 58367.0, 524303,
18, 17.0, 654321.0, 3686400, 1.0, 654281.0, 2359296, 31.0, 654335.0, 3686400, -2555.0, -1.0, 25088, -3275.0, 653925.0, 2359296, 5814.0, 655359.0, 3686415,
19, 17.0, 654321.0, 3686400, 1.0, 654281.0, 2359296, 31.0, 654335.0, 3686400, -2555.0, -1.0, 25088, -3275.0, 653925.0, 2359296, 5814.0, 655359.0, 3686415,
20, 17.0, 94737.0, 32256, 1.0, 94721.0, 512000, 31.0, 94743.0, 32000, -66.0, -1.0, 512, -3275.0, 90162.0, 512000, 94751.0, 96750.0, 32000,
