LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 153733.0, 1016064, 1.0, 153747.0, 903744, 26.0, 153757.0, 476720, -3275.0, 153052.0, 460427, -131.0, -1.0, 864, 11161.0, 154442.0, 401408,
1, 1.0, 312771.0, 3484800, 1.0, 312768.0, 290592, 287.0, 312778.0, 36316, -3275.0, 306800.0, 505586, -66.0, -1.0, 288, 312789.0, 313797.0, 12100,
2, 1.0, 338885.0, 2408448, 1.0, 338885.0, 2142208, 31.0, 338895.0, 953440, -3275.0, 336380.0, 2408448, -262.0, -1.0, 2048, 12301.0, 340266.0, 802816,
3, 1.0, 156464.0, 1806336, 1.0, 156654.0, 150912, 575.0, 156664.0, 9424, -3275.0, 152380.0, 1001956, -66.0, -1.0, 576, 156675.0, 156936.0, 3136,
4, 1.0, 247833.0, 2207744, 1.0, 247837.0, 2146304, 63.0, 247847.0, 470576, -3275.0, 246273.0, 2207744, -852.0, -1.0, 8192, 19597.0, 248532.0, 401408,
5, 1.0, 285271.0, 3359232, 1.0, 285260.0, 279936, 1151.0, 285270.0, 8748, -3275.0, 281410.0, 671072, -131.0, -1.0, 1152, 285281.0, 285523.0, 2916,
6, 1.0, 432281.0, 4415488, 1.0, 432285.0, 4292608, 127.0, 432295.0, 470576, -3275.0, 429554.0, 4415488, -1703.0, -1.0, 16384, 34189.0, 432980.0, 401408,
7, 1.0, 77080.0, 903168, 1.0, 77462.0, 76032, 1151.0, 77472.0, 2368, -3275.0, 73655.0, 472836, -131.0, -1.0, 1152, 77483.0, 77548.0, 784,
8, 1.0, 217781.0, 2207744, 1.0, 217781.0, 2162688, 127.0, 217791.0, 235552, -3275.0, 216376.0, 2207744, -3275.0, 208025.0, 33262, 34489.0, 218139.0, 200704,
9, 1.0, 132563.0, 1557504, 1.0, 132560.0, 131328, 2303.0, 132570.0, 2044, -3275.0, 124973.0, 317278, -262.0, -1.0, 2304, 132581.0, 132637.0, 676,
