LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 26048.0, 338688, 1.0, 25834.0, 42336, 26.0, 26088.0, 426496, -3275.0, 22249.0, 152913, -131.0, -1.0, 864, 2174.0, 26344.0, 401663,
1, 1.0, 37861.0, 3484800, 1.0, 37794.0, 13824, 287.0, 38048.0, 36676, -3275.0, 36135.0, 447046, -66.0, -1.0, 288, 38303.0, 38350.0, 12100,
2, 1.0, 26303.0, 401408, 1.0, 26111.0, 100352, 31.0, 26365.0, 827904, -3275.0, 25741.0, 401408, -262.0, -1.0, 2048, 1115.0, 26621.0, 803071,
3, 1.0, 13614.0, 1806336, 1.0, 13608.0, 7488, 575.0, 13862.0, 9792, -3275.0, 13337.0, 1579891, -66.0, -1.0, 576, 14117.0, 14129.0, 3136,
4, 1.0, 7015.0, 200704, 1.0, 7079.0, 106496, 63.0, 7333.0, 408064, -3275.0, 6619.0, 200704, -852.0, -1.0, 8192, 637.0, 7493.0, 401663,
5, 1.0, 19533.0, 3359232, 1.0, 19434.0, 13824, 1151.0, 19688.0, 9060, -3275.0, 17830.0, 1734476, -131.0, -1.0, 1152, 19943.0, 19954.0, 2916,
6, 1.0, 7847.0, 401408, 1.0, 7911.0, 212992, 127.0, 8165.0, 408064, -3275.0, 7381.0, 401408, -1703.0, -1.0, 16384, 765.0, 8325.0, 401663,
7, 1.0, 5768.0, 903168, 1.0, 6138.0, 4608, 1151.0, 6392.0, 2832, -3275.0, 4562.0, 869290, -131.0, -1.0, 1152, 6647.0, 6650.0, 784,
8, 1.0, 2057.0, 100352, 1.0, 2297.0, 131072, 127.0, 2551.0, 202752, -3275.0, 1650.0, 100352, -3275.0, 2286.0, 131072, 382.0, 2567.0, 200959,
9, 1.0, 8095.0, 1557504, 1.0, 7932.0, 6912, 2303.0, 8186.0, 2212, -3275.0, 7906.0, 1556969, -262.0, -1.0, 2304, 8441.0, 8443.0, 676,
10, 1.0, 2569.0, 200704, 1.0, 2809.0, 262144, 255.0, 3063.0, 202752, -3275.0, 2029.0, 200704, -3275.0, 2793.0, 262144, 510.0, 3079.0, 200959,
11, 1.0, 2484.0, 451584, 1.0, 2304.0, 2304, 2363.0, 2558.0, 708, -3275.0, 2386.0, 430336, -262.0, -1.0, 2304, 2813.0, 2813.0, 196,
12, 1.0, 1217.0, 100352, 1.0, 1277.0, 131072, 315.0, 1531.0, 101376, -3275.0, 1153.0, 100352, -3275.0, 1266.0, 131072, 579.0, 1539.0, 100607,
13, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -3275.0, 4621.0, 663552, -524.0, -1.0, 4608, 5117.0, 5117.0, 144,
14, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -3275.0, 1638.0, 200704, -3275.0, 1773.0, 262144, 835.0, 2051.0, 100607,
15, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -3275.0, 4621.0, 663552, -524.0, -1.0, 4608, 5117.0, 5117.0, 144,
16, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -3275.0, 1638.0, 200704, -3275.0, 1773.0, 262144, 835.0, 2051.0, 100607,
17, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -3275.0, 4621.0, 663552, -524.0, -1.0, 4608, 5117.0, 5117.0, 144,
18, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -3275.0, 1638.0, 200704, -3275.0, 1773.0, 262144, 835.0, 2051.0, 100607,
19, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -3275.0, 4621.0, 663552, -524.0, -1.0, 4608, 5117.0, 5117.0, 144,
20, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -3275.0, 1638.0, 200704, -3275.0, 1773.0, 262144, 835.0, 2051.0, 100607,
21, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -3275.0, 4621.0, 663552, -524.0, -1.0, 4608, 5117.0, 5117.0, 144,
22, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -3275.0, 1638.0, 200704, -3275.0, 1773.0, 262144, 835.0, 2051.0, 100607,
23, 1.0, 4648.0, 225792, 1.0, 4608.0, 4608, 4814.0, 4862.0, 561, -3275.0, 4398.0, 204800, -524.0, -1.0, 4608, 5117.0, 5117.0, 49,
24, 1.0, 3626.0, 100352, 1.0, 3833.0, 524288, 718.0, 4087.0, 52224, -2555.0, -1.0, 25088, -3275.0, 3810.0, 524288, 2942.0, 4155.0, 50431,
25, 1.0, 9224.0, 82944, 1.0, 9216.0, 9216, 9462.0, 9470.0, 521, -3275.0, 7965.0, 76800, -983.0, -1.0, 9216, 9725.0, 9725.0, 9,
26, 1.0, 5674.0, 200704, 1.0, 5881.0, 1048576, 1230.0, 6135.0, 52224, -3275.0, 5565.0, 200704, -3275.0, 5848.0, 1048576, 4478.0, 6203.0, 50431,
