LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 206988.0, 338688, 13.0, 207088.0, 903744, 23.0, 207099.0, 1204224, -3275.0, 176485.0, 153149, -131.0, -1.0, 864, 5649.0, 209151.0, 1204224,
1, 1.0, 847537.0, 3484800, 13.0, 847549.0, 290592, 23.0, 847551.0, 290400, -3275.0, 831331.0, 505586, -66.0, -1.0, 288, 95581.0, 849912.0, 290400,
2, 1.0, 307438.0, 401408, 13.0, 307509.0, 2142208, 23.0, 307515.0, 2408448, -3275.0, 300862.0, 401408, -262.0, -1.0, 2048, 4187.0, 308882.0, 2408448,
3, 1.0, 439577.0, 1806336, 13.0, 440149.0, 150912, 23.0, 440151.0, 150528, -3275.0, 428123.0, 1001956, -66.0, -1.0, 576, 95581.0, 441779.0, 150528,
4, 1.0, 254514.0, 200704, 13.0, 254645.0, 2146304, 23.0, 254655.0, 2408448, -3275.0, 248515.0, 200704, -852.0, -1.0, 8192, 3473.0, 256022.0, 2408448,
5, 1.0, 816457.0, 3359232, 13.0, 816469.0, 279936, 23.0, 816479.0, 279936, -3275.0, 805422.0, 671078, -131.0, -1.0, 1152, 95581.0, 817960.0, 279936,
6, 1.0, 466734.0, 401408, 13.0, 466869.0, 4292608, 23.0, 466875.0, 4415488, -3275.0, 455870.0, 401408, -1703.0, -1.0, 16384, 3473.0, 468919.0, 4415488,
7, 1.0, 220617.0, 903168, 13.0, 221749.0, 76032, 23.0, 221751.0, 75264, -3275.0, 210814.0, 472836, -131.0, -1.0, 1152, 95581.0, 222569.0, 75264,
8, 1.0, 210262.0, 100352, 13.0, 210525.0, 2162688, 23.0, 210531.0, 2207744, -3275.0, 203878.0, 100352, -3263.0, 210373.0, 2162688, 3099.0, 211557.0, 2207744,
9, 1.0, 383017.0, 1557504, 13.0, 383029.0, 131328, 23.0, 383031.0, 129792, -3275.0, 361068.0, 317278, -262.0, -1.0, 2304, 95581.0, 385662.0, 129792,
10, 1.0, 420802.0, 200704, 13.0, 421061.0, 4325376, 23.0, 421071.0, 4415488, -3275.0, 407747.0, 200704, -3263.0, 420661.0, 4325376, 3099.0, 423115.0, 4415488,
11, 1.0, 111977.0, 451584, 13.0, 114229.0, 39168, 23.0, 114231.0, 37632, -3275.0, 98745.0, 212884, -262.0, -1.0, 2304, 95581.0, 114644.0, 37632,
12, 1.0, 203670.0, 50176, 13.0, 204185.0, 2228224, 23.0, 204195.0, 2207744, -3275.0, 127766.0, 50176, -3263.0, 203878.0, 2228224, 2929.0, 205221.0, 2207744,
13, 1.0, 161257.0, 663552, 13.0, 161269.0, 55296, 23.0, 161279.0, 55296, -3275.0, 157784.0, 137828, -524.0, -1.0, 4608, 95581.0, 163156.0, 55296,
14, 1.0, 398592.0, 100352, 13.0, 399111.0, 4456448, 23.0, 399117.0, 4315136, -3275.0, 375110.0, 100352, -3263.0, 398802.0, 4456448, 2929.0, 400991.0, 4315136,
15, 1.0, 161257.0, 663552, 13.0, 161269.0, 55296, 23.0, 161279.0, 55296, -3275.0, 157784.0, 137828, -524.0, -1.0, 4608, 95581.0, 163156.0, 55296,
16, 1.0, 398592.0, 100352, 13.0, 399111.0, 4456448, 23.0, 399117.0, 4315136, -3275.0, 375110.0, 100352, -3263.0, 398802.0, 4456448, 2929.0, 400991.0, 4315136,
17, 1.0, 161257.0, 663552, 13.0, 161269.0, 55296, 23.0, 161279.0, 55296, -3275.0, 157784.0, 137828, -524.0, -1.0, 4608, 95581.0, 163156.0, 55296,
18, 1.0, 398592.0, 100352, 13.0, 399111.0, 4456448, 23.0, 399117.0, 4315136, -3275.0, 375110.0, 100352, -3263.0, 398802.0, 4456448, 2929.0, 400991.0, 4315136,
19, 1.0, 161257.0, 663552, 13.0, 161269.0, 55296, 23.0, 161279.0, 55296, -3275.0, 157784.0, 137828, -524.0, -1.0, 4608, 95581.0, 163156.0, 55296,
20, 1.0, 398592.0, 100352, 13.0, 399111.0, 4456448, 23.0, 399117.0, 4315136, -3275.0, 375110.0, 100352, -3263.0, 398802.0, 4456448, 2929.0, 400991.0, 4315136,
21, 1.0, 161257.0, 663552, 13.0, 161269.0, 55296, 23.0, 161279.0, 55296, -3275.0, 157784.0, 137828, -524.0, -1.0, 4608, 95581.0, 163156.0, 55296,
22, 1.0, 398592.0, 100352, 13.0, 399111.0, 4456448, 23.0, 399117.0, 4315136, -3275.0, 375110.0, 100352, -3263.0, 398802.0, 4456448, 2929.0, 400991.0, 4315136,
23, 1.0, 61227.0, 225792, 13.0, 67189.0, 23040, 23.0, 67188.0, 18816, -3275.0, 39457.0, 125738, -524.0, -1.0, 4608, 67199.0, 68766.0, 18816,
24, 1.0, 226424.0, 25088, 13.0, 227455.0, 2621440, 23.0, 227458.0, 2157568, -2555.0, -1.0, 25088, -3263.0, 227272.0, 2621440, 2827.0, 229767.0, 2157568,
25, 1.0, 26857.0, 82944, 13.0, 26869.0, 9216, 23.0, 26876.0, 6912, -3275.0, 23210.0, 76800, -983.0, -1.0, 9216, 26879.0, 27454.0, 6912,
26, 1.0, 453894.0, 50176, 13.0, 454921.0, 5242880, 23.0, 454928.0, 4315136, -3275.0, 241234.0, 50176, -3263.0, 454200.0, 5242880, 2827.0, 456805.0, 4315136,
