LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 12624.0, 338688, 38.0, 64.0, 864, 127.0, 12701.0, 401408, -3211.0, 10794.0, 152888, -131.0, -1.0, 864, 1166.0, 12861.0, 401471,
1, 65.0, 61355.0, 3484800, 1.0, 49224.0, 288, 127.0, 61386.0, 60500, -3211.0, 60524.0, 2023870, -66.0, -1.0, 288, 33275.0, 61883.0, 60563,
2, 65.0, 12639.0, 401408, 33.0, 64.0, 2048, 127.0, 12733.0, 802816, -3211.0, 12361.0, 401408, -262.0, -1.0, 2048, 670.0, 12989.0, 802879,
3, 65.0, 29814.0, 1806336, 1.0, 26672.0, 576, 127.0, 29870.0, 28224, -3211.0, 29523.0, 1784896, -66.0, -1.0, 576, 29933.0, 30373.0, 28224,
4, 65.0, 6589.0, 401408, 1.0, 3390.0, 8192, 127.0, 6651.0, 401408, -3211.0, 6427.0, 401408, -852.0, -1.0, 8192, 670.0, 6779.0, 401471,
5, 65.0, 55845.0, 3359232, 1.0, 52866.0, 1152, 127.0, 55844.0, 52488, -3211.0, 55521.0, 3359232, -131.0, -1.0, 1152, 34985.0, 56216.0, 52551,
6, 65.0, 13241.0, 802816, 1.0, 10042.0, 16384, 127.0, 13303.0, 802816, -3211.0, 12947.0, 802816, -1703.0, -1.0, 16384, 670.0, 13559.0, 802879,
7, 65.0, 17440.0, 903168, 1.0, 16622.0, 1152, 127.0, 17468.0, 14112, -3211.0, 16919.0, 881792, -131.0, -1.0, 1152, 17531.0, 17751.0, 14112,
8, 65.0, 7729.0, 401408, 1.0, 6882.0, 32768, 127.0, 7791.0, 401408, -3211.0, 7567.0, 401408, -3275.0, 6882.0, 32768, 670.0, 7919.0, 401471,
9, 65.0, 31113.0, 1557504, 1.0, 30374.0, 2304, 127.0, 31112.0, 24336, -3211.0, 30797.0, 1557504, -262.0, -1.0, 2304, 31175.0, 31555.0, 24336,
10, 65.0, 15521.0, 802816, 1.0, 14674.0, 65536, 127.0, 15583.0, 802816, -3211.0, 15227.0, 802816, -3275.0, 14674.0, 65536, 670.0, 15839.0, 802879,
11, 65.0, 13818.0, 451584, 1.0, 13574.0, 2304, 127.0, 13832.0, 7056, -3211.0, 13710.0, 430336, -262.0, -1.0, 2304, 13895.0, 14005.0, 7056,
12, 65.0, 12289.0, 401408, 1.0, 12030.0, 131072, 127.0, 12351.0, 401408, -3211.0, 12127.0, 401408, -3275.0, 12029.0, 131072, 1050.0, 12479.0, 401471,
13, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -3211.0, 23814.0, 663552, -524.0, -1.0, 4608, 24047.0, 24208.0, 10368,
14, 65.0, 24641.0, 802816, 1.0, 24382.0, 262144, 127.0, 24703.0, 802816, -3211.0, 24157.0, 802816, -3275.0, 24380.0, 262144, 1050.0, 24959.0, 802879,
15, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -3211.0, 23814.0, 663552, -524.0, -1.0, 4608, 24047.0, 24208.0, 10368,
