LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 7.5790321678321675, 7.5790321678321675, 5.052688111888112, 3.4429801421146573, 6.595419847328245, 4.861843858246736,
1, 14.476269602243224, 0.905664139578357, 0.15089417384982864, 2.150261844176341, 4.363636363636363, 15.984147952443857,
2, 8.258106989111818, 8.258106989111818, 4.645185181375398, 8.125626894600735, 7.816793893129771, 4.282016544970638,
3, 15.208048831824879, 0.9505030519890549, 0.07920858766575457, 8.346458033593557, 8.727272727272727, 16.0,
4, 10.893690930925226, 10.893690930925226, 3.06385057432272, 10.662204248593874, 9.615023474178404, 2.9557908533307806,
5, 15.530070964610157, 0.9746237951041353, 0.04055384757633897, 3.1133503011084684, 8.793893129770993, 15.934426229508198,
6, 12.962077636905986, 12.962077636905986, 1.8227921676899044, 12.799591849749689, 9.620669406928949, 1.7613610934380552,
7, 15.59417787523525, 0.9746361172022031, 0.04060983821675847, 7.983306389259858, 8.793893129770993, 16.0,
8, 12.962129957778657, 12.962129957778657, 1.8227995253126237, 12.635707596540517, 0.2910894733319949, 1.934137622016439,
9, 15.519016350972988, 0.9871563655204711, 0.020446189256783015, 2.9889963181993595, 8.793893129770993, 15.720930232558139,
10, 14.321742194154925, 14.321742194154925, 1.0069974980265182, 14.1236409697055, 0.36894331574362416, 1.0698337570689223,
11, 14.883622820605781, 0.9871790646320161, 0.020170726080221482, 7.889054380564658, 8.793893129770993, 15.076923076923077,
12, 13.495541080058835, 14.321798697205296, 0.9553603698255936, 13.160594411612829, 1.369154450699515, 1.2510844635021938,
13, 15.896887951893822, 0.9935554969933639, 0.010349536427014206, 3.905020080321285, 8.793893129770993, 16.0,
14, 14.24247020681152, 15.114458178657122, 0.5041180462232393, 14.067277322925017, 1.5981373560494103, 0.6607265114809353,
15, 15.896887951893822, 0.9935554969933639, 0.010349536427014206, 3.905020080321285, 8.793893129770993, 16.0,
16, 14.24247020681152, 15.114458178657122, 0.5041180462232393, 14.067277322925017, 1.5981373560494103, 0.6607265114809353,
17, 15.896887951893822, 0.9935554969933639, 0.010349536427014206, 3.905020080321285, 8.793893129770993, 16.0,
18, 14.24247020681152, 15.114458178657122, 0.5041180462232393, 14.067277322925017, 1.5981373560494103, 0.6607265114809353,
19, 15.896887951893822, 0.9935554969933639, 0.010349536427014206, 3.905020080321285, 8.793893129770993, 16.0,
20, 14.24247020681152, 15.114458178657122, 0.5041180462232393, 14.067277322925017, 1.5981373560494103, 0.6607265114809353,
21, 15.896887951893822, 0.9935554969933639, 0.010349536427014206, 3.905020080321285, 8.793893129770993, 16.0,
22, 14.24247020681152, 15.114458178657122, 0.5041180462232393, 14.067277322925017, 1.5981373560494103, 0.6607265114809353,
23, 12.171419330494313, 0.9935852514689235, 0.00954126462185327, 10.544077696278185, 8.793893129770993, 12.25,
24, 11.572039120438772, 15.11450007567513, 0.4206672384343176, 9.819178082191781, 4.957487427163026, 1.0171858216971,
25, 8.971768523526231, 0.9968631692806923, 0.004434829637641968, 6.832132372564718, 9.375381485249237, 9.0,
26, 11.901372381153571, 15.544649640690379, 0.21631958728499795, 11.807072630874556, 7.704688090457101, 0.5288217382600542,
