LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 38.0, 43354.0, 338688, 65.0, 43412.0, 169344, 127.0, 43511.0, 401408, -3238.0, 36458.0, 155532, -131.0, -1.0, 864, 3679.0, 43639.0, 401471,
1, 1.0, 181323.0, 3484800, 65.0, 181355.0, 54720, 127.0, 181389.0, 60500, -3275.0, 173436.0, 480452, -66.0, -1.0, 288, 97919.0, 181883.0, 60563,
2, 33.0, 49594.0, 401408, 65.0, 49689.0, 401408, 127.0, 49783.0, 802816, -3243.0, 48575.0, 401408, -262.0, -1.0, 2048, 2159.0, 50039.0, 802879,
3, 1.0, 84104.0, 1806336, 65.0, 84168.0, 28224, 127.0, 84230.0, 28224, -3275.0, 83127.0, 958882, -66.0, -1.0, 576, 84230.0, 84670.0, 28224,
4, 1.0, 15328.0, 200704, 65.0, 15519.0, 401408, 127.0, 15581.0, 401408, -3275.0, 15009.0, 200704, -852.0, -1.0, 8192, 1399.0, 15709.0, 401471,
5, 1.0, 158021.0, 3359232, 65.0, 158085.0, 52992, 127.0, 158119.0, 52488, -3275.0, 150760.0, 551648, -131.0, -1.0, 1152, 97919.0, 158456.0, 52551,
6, 1.0, 30910.0, 401408, 65.0, 31101.0, 802816, 127.0, 31163.0, 802816, -3275.0, 30271.0, 401408, -1703.0, -1.0, 16384, 1399.0, 31419.0, 802879,
7, 1.0, 43421.0, 903168, 65.0, 44631.0, 14976, 127.0, 44645.0, 14112, -3275.0, 39601.0, 647520, -131.0, -1.0, 1152, 44693.0, 44913.0, 14112,
8, 1.0, 11214.0, 100352, 65.0, 11533.0, 425984, 127.0, 11547.0, 401408, -3275.0, 10322.0, 100352, -3211.0, 11512.0, 425984, 1019.0, 11723.0, 401471,
9, 1.0, 75509.0, 1557504, 65.0, 75573.0, 25344, 127.0, 75607.0, 24336, -3275.0, 71116.0, 344780, -262.0, -1.0, 2304, 75635.0, 76015.0, 24336,
10, 1.0, 22810.0, 200704, 65.0, 23129.0, 851968, 127.0, 23143.0, 802816, -3275.0, 21025.0, 200704, -3211.0, 23099.0, 851968, 1019.0, 23447.0, 802879,
11, 1.0, 25085.0, 451584, 65.0, 27441.0, 9216, 127.0, 27443.0, 7056, -3275.0, 18344.0, 389915, -262.0, -1.0, 2304, 27503.0, 27613.0, 7056,
12, 1.0, 10594.0, 50176, 65.0, 11169.0, 524288, 127.0, 11171.0, 401408, -3275.0, 4978.0, 50176, -3211.0, 11146.0, 524288, 829.0, 11359.0, 401471,
13, 1.0, 41129.0, 663552, 65.0, 41193.0, 13824, 127.0, 41207.0, 10368, -3275.0, 27373.0, 614248, -524.0, -1.0, 4608, 41255.0, 41416.0, 10368,
14, 1.0, 21826.0, 100352, 65.0, 22401.0, 1048576, 127.0, 22403.0, 802816, -3275.0, 16210.0, 100352, -3211.0, 22368.0, 1048576, 829.0, 22719.0, 802879,
15, 1.0, 41129.0, 663552, 65.0, 41193.0, 13824, 127.0, 41207.0, 10368, -3275.0, 27373.0, 614248, -524.0, -1.0, 4608, 41255.0, 41416.0, 10368,
16, 1.0, 21826.0, 100352, 65.0, 22401.0, 1048576, 127.0, 22403.0, 802816, -3275.0, 16210.0, 100352, -3211.0, 22368.0, 1048576, 829.0, 22719.0, 802879,
17, 1.0, 41129.0, 663552, 65.0, 41193.0, 13824, 127.0, 41207.0, 10368, -3275.0, 27373.0, 614248, -524.0, -1.0, 4608, 41255.0, 41416.0, 10368,
18, 1.0, 21826.0, 100352, 65.0, 22401.0, 1048576, 127.0, 22403.0, 802816, -3275.0, 16210.0, 100352, -3211.0, 22368.0, 1048576, 829.0, 22719.0, 802879,
19, 1.0, 41129.0, 663552, 65.0, 41193.0, 13824, 127.0, 41207.0, 10368, -3275.0, 27373.0, 614248, -524.0, -1.0, 4608, 41255.0, 41416.0, 10368,
20, 1.0, 21826.0, 100352, 65.0, 22401.0, 1048576, 127.0, 22403.0, 802816, -3275.0, 16210.0, 100352, -3211.0, 22368.0, 1048576, 829.0, 22719.0, 802879,
21, 1.0, 41129.0, 663552, 65.0, 41193.0, 13824, 127.0, 41207.0, 10368, -3275.0, 27373.0, 614248, -524.0, -1.0, 4608, 41255.0, 41416.0, 10368,
22, 1.0, 21826.0, 100352, 65.0, 22401.0, 1048576, 127.0, 22403.0, 802816, -3275.0, 16210.0, 100352, -3211.0, 22368.0, 1048576, 829.0, 22719.0, 802879,
23, 1.0, 13625.0, 225792, 65.0, 13689.0, 4608, 127.0, 13736.0, 3528, -3275.0, 13014.0, 204800, -524.0, -1.0, 4608, 13751.0, 13806.0, 3528,
24, 1.0, 8562.0, 25088, 65.0, 9649.0, 524288, 127.0, 9696.0, 401408, -2555.0, -1.0, 25088, -3211.0, 9626.0, 524288, 819.0, 9839.0, 401471,
25, 1.0, 27377.0, 82944, 65.0, 27441.0, 9216, 127.0, 27448.0, 1296, -3275.0, 23709.0, 76800, -983.0, -1.0, 9216, 27503.0, 27523.0, 1296,
26, 1.0, 18274.0, 50176, 65.0, 19361.0, 1048576, 127.0, 19408.0, 802816, -3275.0, 12169.0, 50176, -3211.0, 19328.0, 1048576, 819.0, 19679.0, 802879,
