LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1023085.0, 10672200, 1.0, 1023107.0, 9492672, 146.0, 1023117.0, 919696, -3275.0, 988428.0, 982414, -983.0, -1.0, 9408, 38521.0, 1024851.0, 774400,
1, 1.0, 871873.0, 10077696, 1.0, 871865.0, 8957952, 575.0, 871875.0, 221616, -3275.0, 856905.0, 1533636, -3275.0, 581687.0, 41966, 136333.0, 873781.0, 186624,
2, 1.0, 871873.0, 10077696, 1.0, 871865.0, 8957952, 575.0, 871875.0, 221616, -3275.0, 856905.0, 1533636, -3275.0, 581687.0, 41966, 136333.0, 873781.0, 186624,
3, 1.0, 871873.0, 10077696, 1.0, 871865.0, 8957952, 575.0, 871875.0, 221616, -3275.0, 856905.0, 1533636, -3275.0, 581687.0, 41966, 136333.0, 873781.0, 186624,
4, 1.0, 871873.0, 10077696, 1.0, 871865.0, 8957952, 575.0, 871875.0, 221616, -3275.0, 856905.0, 1533636, -3275.0, 581687.0, 41966, 136333.0, 873781.0, 186624,
5, 1.0, 433936.0, 4967424, 1.0, 434133.0, 4866048, 575.0, 434143.0, 117776, -3275.0, 428432.0, 2417786, -3275.0, 316175.0, 83932, 137529.0, 434317.0, 100352,
6, 1.0, 736079.0, 8566272, 1.0, 736083.0, 8404992, 1151.0, 736093.0, 101576, -3275.0, 732226.0, 1354014, -3275.0, 669822.0, 172966, 271178.0, 737846.0, 86528,
7, 1.0, 66892.0, 592064, 1.0, 67151.0, 581632, 63.0, 67161.0, 126392, -3275.0, 63622.0, 551936, -852.0, -1.0, 8192, 19851.0, 67943.0, 107648,
8, 1.0, 736079.0, 8566272, 1.0, 736083.0, 8404992, 1151.0, 736093.0, 101576, -3275.0, 732226.0, 1354014, -3275.0, 669822.0, 172966, 271178.0, 737846.0, 86528,
9, 1.0, 736079.0, 8566272, 1.0, 736083.0, 8404992, 1151.0, 736093.0, 101576, -3275.0, 732226.0, 1354014, -3275.0, 669822.0, 172966, 271178.0, 737846.0, 86528,
10, 1.0, 438672.0, 4967424, 1.0, 439057.0, 5013504, 1151.0, 439067.0, 59152, -3275.0, 434989.0, 2341432, -3275.0, 399591.0, 345932, 278222.0, 440525.0, 50176,
11, 1.0, 614053.0, 7299072, 1.0, 614045.0, 7077888, 2303.0, 614055.0, 43200, -3275.0, 604021.0, 1233254, -3275.0, 587429.0, 696966, 530317.0, 614404.0, 36864,
12, 1.0, 62532.0, 633600, 1.0, 62681.0, 622592, 127.0, 62691.0, 67632, -2555.0, -1.0, 25088, -3275.0, 59975.0, 33262, 34639.0, 64768.0, 57600,
13, 1.0, 614053.0, 7299072, 1.0, 614045.0, 7077888, 2303.0, 614055.0, 43200, -3275.0, 604021.0, 1233254, -3275.0, 587429.0, 696966, 530317.0, 614404.0, 36864,
14, 1.0, 614053.0, 7299072, 1.0, 614045.0, 7077888, 2303.0, 614055.0, 43200, -3275.0, 604021.0, 1233254, -3275.0, 587429.0, 696966, 530317.0, 614404.0, 36864,
15, 1.0, 499044.0, 4854528, 1.0, 500075.0, 5898240, 2303.0, 500085.0, 30248, -3275.0, 496393.0, 2465611, -3275.0, 489102.0, 1393932, 500089.0, 502179.0, 25088,
16, 1.0, 597248.0, 4953600, 1.0, 597255.0, 7077888, 4607.0, 597265.0, 15896, -2555.0, -1.0, 25088, -3275.0, 596766.0, 7077888, 597269.0, 598335.0, 12800,
17, 1.0, 71430.0, 704512, 1.0, 71709.0, 786432, 255.0, 71719.0, 38960, -1310.0, -1.0, 12544, -3275.0, 66895.0, 139192, 71723.0, 74453.0, 32768,
18, 1.0, 597248.0, 4953600, 1.0, 597255.0, 7077888, 4607.0, 597265.0, 15896, -2555.0, -1.0, 25088, -3275.0, 596766.0, 7077888, 597269.0, 598335.0, 12800,
19, 1.0, 597248.0, 4953600, 1.0, 597255.0, 7077888, 4607.0, 597265.0, 15896, -2555.0, -1.0, 25088, -3275.0, 596766.0, 7077888, 597269.0, 598335.0, 12800,
20, 1.0, 44834.0, 43008, 1.0, 44837.0, 512000, 522.0, 44847.0, 3016, -66.0, -1.0, 512, -3275.0, 42681.0, 512000, 44855.0, 44938.0, 1000,
