LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 12688.0, 338688, 102.0, 128.0, 864, 255.0, 12829.0, 401408, -3147.0, 10858.0, 152888, -131.0, -1.0, 864, 1294.0, 12989.0, 401535,
1, 129.0, 37223.0, 3484800, 1.0, 25092.0, 288, 255.0, 37318.0, 36300, -3147.0, 36266.0, 1241900, -66.0, -1.0, 288, 33787.0, 37473.0, 36427,
2, 129.0, 12703.0, 401408, 97.0, 128.0, 2048, 255.0, 12861.0, 802816, -3147.0, 12425.0, 401408, -262.0, -1.0, 2048, 798.0, 13053.0, 802943,
3, 129.0, 17342.0, 1806336, 1.0, 14200.0, 576, 255.0, 17462.0, 15680, -3147.0, 17051.0, 1784896, -66.0, -1.0, 576, 17589.0, 17711.0, 15680,
4, 129.0, 3327.0, 200704, 65.0, 128.0, 8192, 255.0, 3517.0, 401408, -3147.0, 3230.0, 200704, -852.0, -1.0, 8192, 574.0, 3581.0, 401535,
5, 129.0, 29555.0, 3359232, 1.0, 26512.0, 1152, 255.0, 29554.0, 26244, -3147.0, 29346.0, 3359232, -131.0, -1.0, 1152, 29681.0, 29886.0, 26244,
6, 129.0, 3391.0, 401408, 1.0, 128.0, 16384, 255.0, 3517.0, 401408, -3147.0, 3262.0, 401408, -1703.0, -1.0, 16384, 574.0, 3581.0, 401535,
7, 129.0, 10338.0, 903168, 1.0, 9456.0, 1152, 255.0, 10366.0, 7056, -3147.0, 10030.0, 881792, -131.0, -1.0, 1152, 10493.0, 10548.0, 7056,
8, 129.0, 2205.0, 200704, 1.0, 1294.0, 32768, 255.0, 2331.0, 200704, -3147.0, 2114.0, 200704, -3275.0, 1294.0, 32768, 574.0, 2363.0, 200831,
9, 129.0, 18917.0, 1557504, 1.0, 18114.0, 2304, 255.0, 18916.0, 12168, -3147.0, 18711.0, 1557504, -262.0, -1.0, 2304, 19043.0, 19138.0, 12168,
10, 129.0, 4537.0, 401408, 1.0, 3626.0, 65536, 255.0, 4663.0, 401408, -3147.0, 4408.0, 401408, -3275.0, 3626.0, 65536, 574.0, 4727.0, 401535,
11, 129.0, 10262.0, 451584, 1.0, 9954.0, 2304, 255.0, 10276.0, 3528, -3147.0, 10164.0, 430336, -262.0, -1.0, 2304, 10403.0, 10430.0, 3528,
12, 129.0, 4497.0, 200704, 1.0, 4174.0, 131072, 255.0, 4623.0, 200704, -3147.0, 4406.0, 200704, -3275.0, 4174.0, 131072, 956.0, 4655.0, 200831,
13, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -3147.0, 18679.0, 663552, -524.0, -1.0, 4608, 18935.0, 18975.0, 5184,
14, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -3147.0, 8992.0, 401408, -3275.0, 8797.0, 262144, 956.0, 9311.0, 401535,
15, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -3147.0, 18679.0, 663552, -524.0, -1.0, 4608, 18935.0, 18975.0, 5184,
16, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -3147.0, 8992.0, 401408, -3275.0, 8797.0, 262144, 956.0, 9311.0, 401535,
17, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -3147.0, 18679.0, 663552, -524.0, -1.0, 4608, 18935.0, 18975.0, 5184,
18, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -3147.0, 8992.0, 401408, -3275.0, 8797.0, 262144, 956.0, 9311.0, 401535,
19, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -3147.0, 18679.0, 663552, -524.0, -1.0, 4608, 18935.0, 18975.0, 5184,
20, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -3147.0, 8992.0, 401408, -3275.0, 8797.0, 262144, 956.0, 9311.0, 401535,
21, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -3147.0, 18679.0, 663552, -524.0, -1.0, 4608, 18935.0, 18975.0, 5184,
22, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -3147.0, 8992.0, 401408, -3275.0, 8797.0, 262144, 956.0, 9311.0, 401535,
23, 129.0, 15381.0, 225792, 1.0, 15213.0, 4608, 255.0, 15388.0, 1764, -3147.0, 14828.0, 204800, -524.0, -1.0, 4608, 15515.0, 15528.0, 1764,
24, 129.0, 13665.0, 200704, 1.0, 13489.0, 524288, 255.0, 13791.0, 200704, -2555.0, -1.0, 25088, -3275.0, 13487.0, 524288, 2462.0, 13823.0, 200831,
25, 129.0, 28025.0, 82944, 1.0, 27889.0, 9216, 255.0, 28024.0, 648, -3147.0, 24399.0, 76800, -983.0, -1.0, 9216, 28151.0, 28156.0, 648,
26, 129.0, 27457.0, 401408, 1.0, 27281.0, 1048576, 255.0, 27583.0, 401408, -3147.0, 26959.0, 401408, -3275.0, 27277.0, 1048576, 2462.0, 27647.0, 401535,
